id_campania,TipoPublicidadAtractiva,PromocionPreferida,CampaniaMasProbableCompra,CompraTarjetasColeccionables
437,Historias de aficionados,Tarjetas coleccionables,Edición con jugadores famosos,Sí
438,Un jugador famoso,Descuento directo,Edición Brasil,No
439,Premios y sorteos,Sorteo de balones,Edición Francia,Sí
440,Premios y sorteos,2x1,Edición Argentina,Sí
441,Premios y sorteos,Producto gratis,Edición Argentina,Sí
442,Premios y sorteos,Producto gratis,Edición Mundial FIFA 2026,No
443,Una selección nacional,Tarjetas coleccionables,Edición con jugadores famosos,Sí
444,Un jugador famoso,Tarjetas coleccionables,Edición Francia,No
445,Humor,Descuento directo,Edición Brasil,No
446,Un jugador famoso,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
447,Premios y sorteos,Sorteo de balones,Edición Argentina,Sí
448,Un jugador famoso,Sorteo de balones,Edición Brasil,No
449,Un jugador famoso,Sorteo de viajes,Edición Argentina,Sí
1193,Historias de aficionados,Producto gratis,Edición España,No
451,Historias de aficionados,Producto gratis,Edición España,Sí
452,Una selección nacional,Descuento directo,Edición Francia,Sí
453,Una selección nacional,Descuento directo,Edición Francia,No
454,Una selección nacional,Sorteo de viajes,Edición Mundial FIFA 2026,No
455,Un jugador famoso,2x1,Edición Francia,Sí
456,Un jugador famoso,2x1,Edición Mundial FIFA 2026,Sí
457,Humor,Sorteo de viajes,Edición Argentina,No
458,Un jugador famoso,Sorteo de balones,Edición Argentina,No
459,Un jugador famoso,Sorteo de viajes,Edición Mundial FIFA 2026,Sí
460,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,No
461,Historias de aficionados,Producto gratis,Edición con tarjetas coleccionables,Sí
462,Historias de aficionados,Descuento directo,Edición Argentina,Sí
463,Un jugador famoso,Sorteo de viajes,Edición Brasil,Sí
1049,Humor,Sorteo de balones,Edición Francia,No
465,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,No
466,Un jugador famoso,2x1,Edición Brasil,Sí
467,Una selección nacional,Tarjetas coleccionables,Edición Brasil,Sí
468,Un jugador famoso,2x1,Edición con jugadores famosos,Sí
469,Premios y sorteos,Sorteo de viajes,Edición con jugadores famosos,No
470,Historias de aficionados,Producto gratis,Edición Brasil,Sí
471,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,Sí
472,Un jugador famoso,2x1,Edición con tarjetas coleccionables,No
473,Premios y sorteos,Sorteo de balones,Edición Mundial FIFA 2026,Sí
2439,Una selección nacional,Sorteo de balones,Edición Francia,Sí
475,Un jugador famoso,Descuento directo,Edición España,Sí
476,Una selección nacional,Descuento directo,Edición Mundial FIFA 2026,No
477,Premios y sorteos,Descuento directo,Edición con tarjetas coleccionables,Sí
478,Historias de aficionados,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
479,Premios y sorteos,Producto gratis,Edición con tarjetas coleccionables,No
480,Un jugador famoso,Sorteo de camisetas,Edición con tarjetas coleccionables,Sí
481,Premios y sorteos,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
482,Historias de aficionados,Producto gratis,Edición Argentina,Sí
483,Historias de aficionados,Sorteo de balones,Edición Mundial FIFA 2026,Sí
484,Una selección nacional,2x1,Edición con tarjetas coleccionables,No
485,Premios y sorteos,2x1,Edición España,Sí
486,Humor,Descuento directo,Edición con jugadores famosos,No
487,Un jugador famoso,Sorteo de camisetas,Edición Mundial FIFA 2026,No
488,Humor,Sorteo de viajes,Edición Argentina,Sí
489,Humor,Sorteo de camisetas,Edición con tarjetas coleccionables,Sí
490,Un jugador famoso,Descuento directo,Edición Francia,Sí
491,Una selección nacional,2x1,Edición Francia,Sí
492,Una selección nacional,Sorteo de viajes,Edición con jugadores famosos,Sí
493,Una selección nacional,Sorteo de balones,Edición Mundial FIFA 2026,Sí
494,Historias de aficionados,Tarjetas coleccionables,Edición España,Sí
495,Premios y sorteos,Sorteo de camisetas,Edición Brasil,Sí
496,Un jugador famoso,2x1,Edición Brasil,No
497,Un jugador famoso,2x1,Edición Mundial FIFA 2026,No
498,Historias de aficionados,Descuento directo,Edición Brasil,Sí
499,Un jugador famoso,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
500,Un jugador famoso,Sorteo de balones,Edición Francia,No
501,Una selección nacional,Tarjetas coleccionables,Edición Argentina,Sí
502,Historias de aficionados,Producto gratis,Edición Argentina,Sí
503,Premios y sorteos,Descuento directo,Edición Argentina,Sí
504,Premios y sorteos,Sorteo de camisetas,Edición Brasil,Sí
505,Un jugador famoso,Sorteo de viajes,Edición con jugadores famosos,No
506,Humor,Sorteo de viajes,Edición Francia,No
507,Premios y sorteos,2x1,Edición con tarjetas coleccionables,Sí
508,Una selección nacional,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
509,Humor,Producto gratis,Edición Argentina,Sí
510,Un jugador famoso,2x1,Edición Mundial FIFA 2026,Sí
511,Humor,Producto gratis,Edición España,Sí
512,Una selección nacional,Tarjetas coleccionables,Edición Inglaterra,Sí
513,Un jugador famoso,Descuento directo,Edición Argentina,Sí
514,Un jugador famoso,Sorteo de viajes,Edición Francia,No
515,Una selección nacional,Sorteo de balones,Edición Brasil,Sí
516,Premios y sorteos,Producto gratis,Edición Brasil,Sí
517,Una selección nacional,Producto gratis,Edición con jugadores famosos,Sí
518,Premios y sorteos,Sorteo de balones,Edición con tarjetas coleccionables,No
519,Una selección nacional,2x1,Edición Brasil,No
520,Historias de aficionados,Sorteo de viajes,Edición con tarjetas coleccionables,Sí
521,Un jugador famoso,Descuento directo,Edición Brasil,No
522,Una selección nacional,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
523,Una selección nacional,Sorteo de camisetas,Edición Argentina,No
524,Historias de aficionados,Tarjetas coleccionables,Edición con jugadores famosos,Sí
525,Una selección nacional,Sorteo de viajes,Edición Brasil,Sí
526,Un jugador famoso,Sorteo de camisetas,Edición Inglaterra,Sí
527,Premios y sorteos,Producto gratis,Edición con tarjetas coleccionables,Sí
528,Historias de aficionados,Sorteo de balones,Edición con jugadores famosos,No
529,Humor,Descuento directo,Edición Mundial FIFA 2026,Sí
530,Premios y sorteos,Tarjetas coleccionables,Edición España,No
531,Una selección nacional,2x1,Edición Francia,No
532,Premios y sorteos,2x1,Edición Argentina,No
533,Una selección nacional,Descuento directo,Edición Brasil,No
534,Una selección nacional,Descuento directo,Edición con jugadores famosos,Sí
535,Una selección nacional,Sorteo de camisetas,Edición España,No
536,Historias de aficionados,Sorteo de viajes,Edición Brasil,Sí
537,Un jugador famoso,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
538,Premios y sorteos,Producto gratis,Edición con tarjetas coleccionables,Sí
539,Una selección nacional,Sorteo de balones,Edición España,No
540,Historias de aficionados,Descuento directo,Edición con jugadores famosos,Sí
541,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,No
542,Humor,Descuento directo,Edición con tarjetas coleccionables,No
543,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,Sí
544,Un jugador famoso,2x1,Edición Brasil,Sí
545,Historias de aficionados,Sorteo de balones,Edición Mundial FIFA 2026,Sí
546,Un jugador famoso,Sorteo de camisetas,Edición con jugadores famosos,No
547,Una selección nacional,Sorteo de camisetas,Edición Inglaterra,Sí
548,Premios y sorteos,Tarjetas coleccionables,Edición con jugadores famosos,No
549,Premios y sorteos,Producto gratis,Edición con tarjetas coleccionables,Sí
550,Una selección nacional,Sorteo de camisetas,Edición Argentina,Sí
551,Un jugador famoso,2x1,Edición con jugadores famosos,Sí
552,Un jugador famoso,Descuento directo,Edición Francia,Sí
553,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,Sí
554,Premios y sorteos,Sorteo de viajes,Edición España,No
555,Historias de aficionados,Tarjetas coleccionables,Edición con jugadores famosos,Sí
556,Un jugador famoso,Sorteo de viajes,Edición España,No
557,Historias de aficionados,2x1,Edición con tarjetas coleccionables,No
558,Un jugador famoso,Sorteo de viajes,Edición Argentina,No
559,Premios y sorteos,Descuento directo,Edición Inglaterra,Sí
560,Premios y sorteos,Tarjetas coleccionables,Edición Inglaterra,Sí
561,Un jugador famoso,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
562,Una selección nacional,Tarjetas coleccionables,Edición con jugadores famosos,No
563,Historias de aficionados,Producto gratis,Edición con jugadores famosos,Sí
564,Una selección nacional,2x1,Edición Inglaterra,Sí
565,Premios y sorteos,Sorteo de camisetas,Edición Argentina,No
566,Un jugador famoso,2x1,Edición con tarjetas coleccionables,Sí
567,Premios y sorteos,Descuento directo,Edición Inglaterra,Sí
568,Una selección nacional,Tarjetas coleccionables,Edición Argentina,Sí
569,Un jugador famoso,Sorteo de balones,Edición Argentina,Sí
570,Premios y sorteos,2x1,Edición con tarjetas coleccionables,Sí
571,Una selección nacional,Sorteo de camisetas,Edición Argentina,No
572,Humor,2x1,Edición Mundial FIFA 2026,No
573,Premios y sorteos,Descuento directo,Edición Argentina,No
574,Humor,Sorteo de camisetas,Edición con jugadores famosos,No
575,Historias de aficionados,Producto gratis,Edición con tarjetas coleccionables,Sí
576,Un jugador famoso,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
577,Premios y sorteos,2x1,Edición con jugadores famosos,Sí
578,Un jugador famoso,Producto gratis,Edición Argentina,Sí
579,Humor,Tarjetas coleccionables,Edición España,Sí
580,Historias de aficionados,Descuento directo,Edición con tarjetas coleccionables,No
581,Una selección nacional,Descuento directo,Edición Brasil,No
582,Una selección nacional,Sorteo de camisetas,Edición con jugadores famosos,No
583,Una selección nacional,2x1,Edición Argentina,No
584,Una selección nacional,Descuento directo,Edición Mundial FIFA 2026,Sí
585,Una selección nacional,Descuento directo,Edición Mundial FIFA 2026,Sí
586,Historias de aficionados,Descuento directo,Edición con jugadores famosos,No
587,Una selección nacional,2x1,Edición Argentina,No
588,Premios y sorteos,Descuento directo,Edición España,Sí
589,Premios y sorteos,Sorteo de camisetas,Edición Mundial FIFA 2026,No
590,Historias de aficionados,Sorteo de camisetas,Edición España,Sí
591,Premios y sorteos,Sorteo de camisetas,Edición Argentina,Sí
592,Premios y sorteos,Sorteo de viajes,Edición España,Sí
593,Una selección nacional,2x1,Edición Inglaterra,Sí
594,Una selección nacional,Tarjetas coleccionables,Edición Brasil,Sí
595,Humor,2x1,Edición Brasil,Sí
596,Un jugador famoso,Tarjetas coleccionables,Edición España,Sí
597,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,Sí
598,Humor,2x1,Edición España,Sí
599,Un jugador famoso,2x1,Edición Argentina,No
600,Humor,Sorteo de viajes,Edición con jugadores famosos,Sí
601,Humor,2x1,Edición Francia,Sí
602,Premios y sorteos,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
603,Un jugador famoso,Descuento directo,Edición con jugadores famosos,No
604,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,Sí
605,Premios y sorteos,Producto gratis,Edición Brasil,No
606,Una selección nacional,Sorteo de balones,Edición Mundial FIFA 2026,Sí
607,Un jugador famoso,Descuento directo,Edición Francia,Sí
608,Una selección nacional,Descuento directo,Edición Inglaterra,Sí
609,Una selección nacional,Sorteo de camisetas,Edición con jugadores famosos,Sí
1416,Un jugador famoso,Producto gratis,Edición con tarjetas coleccionables,No
611,Una selección nacional,Descuento directo,Edición Brasil,Sí
612,Un jugador famoso,Sorteo de camisetas,Edición Brasil,Sí
613,Premios y sorteos,Descuento directo,Edición con jugadores famosos,No
614,Una selección nacional,Sorteo de viajes,Edición Inglaterra,Sí
615,Una selección nacional,Descuento directo,Edición Inglaterra,No
1472,Una selección nacional,Producto gratis,Edición con jugadores famosos,No
617,Premios y sorteos,Sorteo de viajes,Edición Inglaterra,Sí
618,Historias de aficionados,Descuento directo,Edición España,No
619,Un jugador famoso,Producto gratis,Edición con tarjetas coleccionables,No
620,Historias de aficionados,Sorteo de camisetas,Edición Francia,No
621,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,No
622,Historias de aficionados,2x1,Edición Francia,No
623,Un jugador famoso,Descuento directo,Edición España,Sí
624,Una selección nacional,Sorteo de viajes,Edición con jugadores famosos,Sí
625,Humor,Producto gratis,Edición con jugadores famosos,Sí
626,Una selección nacional,2x1,Edición con tarjetas coleccionables,Sí
627,Historias de aficionados,Sorteo de viajes,Edición Inglaterra,No
628,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,Sí
629,Una selección nacional,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
630,Un jugador famoso,Descuento directo,Edición con jugadores famosos,Sí
631,Un jugador famoso,Sorteo de camisetas,Edición con jugadores famosos,Sí
632,Historias de aficionados,Producto gratis,Edición con jugadores famosos,Sí
633,Un jugador famoso,Tarjetas coleccionables,Edición Argentina,Sí
634,Una selección nacional,Descuento directo,Edición Mundial FIFA 2026,No
635,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,Sí
636,Una selección nacional,2x1,Edición Brasil,Sí
637,Un jugador famoso,Sorteo de balones,Edición con tarjetas coleccionables,Sí
638,Una selección nacional,Producto gratis,Edición Mundial FIFA 2026,Sí
639,Un jugador famoso,Tarjetas coleccionables,Edición con tarjetas coleccionables,No
640,Un jugador famoso,2x1,Edición Argentina,No
641,Premios y sorteos,Descuento directo,Edición con jugadores famosos,Sí
642,Un jugador famoso,Sorteo de viajes,Edición Argentina,Sí
643,Premios y sorteos,Sorteo de camisetas,Edición Brasil,Sí
644,Historias de aficionados,2x1,Edición Argentina,Sí
645,Un jugador famoso,Tarjetas coleccionables,Edición con jugadores famosos,Sí
646,Humor,Descuento directo,Edición España,Sí
647,Un jugador famoso,Sorteo de balones,Edición con tarjetas coleccionables,Sí
648,Historias de aficionados,Tarjetas coleccionables,Edición Francia,No
649,Historias de aficionados,2x1,Edición Brasil,Sí
650,Un jugador famoso,2x1,Edición con jugadores famosos,Sí
651,Un jugador famoso,Sorteo de camisetas,Edición Argentina,Sí
652,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,No
653,Una selección nacional,2x1,Edición Brasil,Sí
654,Un jugador famoso,Tarjetas coleccionables,Edición España,Sí
655,Una selección nacional,Tarjetas coleccionables,Edición Argentina,Sí
656,Una selección nacional,Sorteo de camisetas,Edición Argentina,Sí
657,Historias de aficionados,2x1,Edición con tarjetas coleccionables,Sí
658,Premios y sorteos,Sorteo de balones,Edición Francia,No
659,Un jugador famoso,Producto gratis,Edición Mundial FIFA 2026,Sí
660,Humor,Tarjetas coleccionables,Edición con jugadores famosos,No
661,Historias de aficionados,Descuento directo,Edición Mundial FIFA 2026,No
662,Premios y sorteos,Descuento directo,Edición Mundial FIFA 2026,No
663,Un jugador famoso,2x1,Edición con jugadores famosos,No
664,Premios y sorteos,Tarjetas coleccionables,Edición Brasil,Sí
665,Un jugador famoso,Descuento directo,Edición con jugadores famosos,Sí
666,Premios y sorteos,Sorteo de balones,Edición Francia,Sí
667,Historias de aficionados,Producto gratis,Edición Brasil,No
668,Premios y sorteos,Descuento directo,Edición con tarjetas coleccionables,Sí
669,Una selección nacional,Sorteo de viajes,Edición Argentina,No
670,Una selección nacional,Sorteo de balones,Edición con jugadores famosos,Sí
671,Premios y sorteos,Descuento directo,Edición Brasil,Sí
672,Historias de aficionados,Producto gratis,Edición Argentina,Sí
673,Un jugador famoso,Producto gratis,Edición con tarjetas coleccionables,Sí
674,Premios y sorteos,Tarjetas coleccionables,Edición Inglaterra,No
675,Un jugador famoso,Descuento directo,Edición con jugadores famosos,Sí
676,Un jugador famoso,Tarjetas coleccionables,Edición Argentina,Sí
677,Humor,2x1,Edición España,Sí
678,Historias de aficionados,2x1,Edición Argentina,Sí
679,Premios y sorteos,2x1,Edición Argentina,Sí
680,Premios y sorteos,Sorteo de camisetas,Edición Brasil,No
681,Historias de aficionados,Descuento directo,Edición Mundial FIFA 2026,Sí
682,Premios y sorteos,Descuento directo,Edición con tarjetas coleccionables,Sí
683,Una selección nacional,Tarjetas coleccionables,Edición Argentina,No
684,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,Sí
685,Un jugador famoso,Descuento directo,Edición Inglaterra,Sí
686,Un jugador famoso,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
687,Historias de aficionados,Sorteo de camisetas,Edición con jugadores famosos,No
688,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,Sí
689,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,Sí
1961,Un jugador famoso,Tarjetas coleccionables,Edición España,No
691,Una selección nacional,Sorteo de balones,Edición Brasil,Sí
692,Un jugador famoso,Sorteo de viajes,Edición España,No
693,Humor,Sorteo de viajes,Edición Argentina,Sí
694,Una selección nacional,Sorteo de balones,Edición Mundial FIFA 2026,Sí
695,Una selección nacional,Producto gratis,Edición Brasil,Sí
696,Un jugador famoso,Sorteo de camisetas,Edición Mundial FIFA 2026,No
697,Historias de aficionados,Producto gratis,Edición Inglaterra,Sí
698,Una selección nacional,2x1,Edición Inglaterra,Sí
699,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,No
700,Un jugador famoso,Producto gratis,Edición con jugadores famosos,No
701,Una selección nacional,2x1,Edición Argentina,Sí
702,Una selección nacional,Sorteo de balones,Edición Francia,Sí
703,Humor,Producto gratis,Edición España,Sí
704,Humor,Producto gratis,Edición Mundial FIFA 2026,No
705,Un jugador famoso,2x1,Edición con jugadores famosos,No
706,Historias de aficionados,Descuento directo,Edición Mundial FIFA 2026,Sí
707,Una selección nacional,2x1,Edición Argentina,Sí
708,Una selección nacional,Descuento directo,Edición Brasil,No
709,Historias de aficionados,2x1,Edición Argentina,No
710,Una selección nacional,Descuento directo,Edición Francia,No
711,Premios y sorteos,Sorteo de viajes,Edición Francia,No
712,Historias de aficionados,2x1,Edición Argentina,Sí
713,Un jugador famoso,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
714,Humor,Descuento directo,Edición con jugadores famosos,Sí
715,Premios y sorteos,Descuento directo,Edición con jugadores famosos,Sí
716,Premios y sorteos,Descuento directo,Edición Mundial FIFA 2026,Sí
717,Un jugador famoso,2x1,Edición Francia,Sí
718,Humor,Descuento directo,Edición Argentina,Sí
719,Una selección nacional,Descuento directo,Edición Argentina,Sí
720,Premios y sorteos,Sorteo de balones,Edición con tarjetas coleccionables,Sí
721,Humor,2x1,Edición España,Sí
722,Humor,Descuento directo,Edición Mundial FIFA 2026,No
723,Una selección nacional,Producto gratis,Edición con tarjetas coleccionables,Sí
724,Un jugador famoso,Producto gratis,Edición con tarjetas coleccionables,No
725,Historias de aficionados,Tarjetas coleccionables,Edición Brasil,No
726,Humor,Tarjetas coleccionables,Edición con jugadores famosos,Sí
727,Un jugador famoso,Descuento directo,Edición Brasil,Sí
728,Historias de aficionados,2x1,Edición con jugadores famosos,No
729,Un jugador famoso,Descuento directo,Edición Argentina,Sí
730,Premios y sorteos,Sorteo de balones,Edición Francia,No
731,Una selección nacional,Descuento directo,Edición con jugadores famosos,Sí
732,Premios y sorteos,2x1,Edición España,Sí
733,Un jugador famoso,Tarjetas coleccionables,Edición Brasil,No
734,Humor,Sorteo de camisetas,Edición Mundial FIFA 2026,No
735,Humor,Tarjetas coleccionables,Edición Inglaterra,No
736,Una selección nacional,Tarjetas coleccionables,Edición Argentina,Sí
737,Premios y sorteos,Descuento directo,Edición Mundial FIFA 2026,Sí
738,Premios y sorteos,Sorteo de camisetas,Edición con tarjetas coleccionables,Sí
739,Un jugador famoso,Sorteo de camisetas,Edición con tarjetas coleccionables,No
740,Historias de aficionados,Descuento directo,Edición Brasil,Sí
741,Un jugador famoso,Sorteo de balones,Edición Argentina,Sí
742,Un jugador famoso,2x1,Edición Brasil,Sí
743,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,Sí
744,Premios y sorteos,Tarjetas coleccionables,Edición Brasil,No
745,Un jugador famoso,Descuento directo,Edición Francia,Sí
746,Una selección nacional,Sorteo de balones,Edición con tarjetas coleccionables,No
747,Premios y sorteos,Sorteo de viajes,Edición con jugadores famosos,No
748,Un jugador famoso,Sorteo de viajes,Edición Brasil,Sí
749,Humor,Sorteo de viajes,Edición con jugadores famosos,No
750,Una selección nacional,Tarjetas coleccionables,Edición con tarjetas coleccionables,No
751,Una selección nacional,Producto gratis,Edición Mundial FIFA 2026,No
752,Humor,Producto gratis,Edición Mundial FIFA 2026,Sí
753,Historias de aficionados,2x1,Edición Inglaterra,No
754,Historias de aficionados,2x1,Edición con tarjetas coleccionables,No
755,Premios y sorteos,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
756,Historias de aficionados,2x1,Edición Argentina,Sí
757,Historias de aficionados,Sorteo de camisetas,Edición Francia,Sí
758,Un jugador famoso,Sorteo de camisetas,Edición España,Sí
759,Una selección nacional,Descuento directo,Edición Mundial FIFA 2026,Sí
760,Una selección nacional,Producto gratis,Edición con jugadores famosos,Sí
761,Premios y sorteos,2x1,Edición con jugadores famosos,Sí
762,Historias de aficionados,Producto gratis,Edición Mundial FIFA 2026,Sí
763,Premios y sorteos,2x1,Edición Brasil,No
764,Un jugador famoso,Sorteo de balones,Edición Brasil,No
765,Un jugador famoso,Descuento directo,Edición España,No
766,Una selección nacional,Sorteo de balones,Edición Argentina,Sí
767,Un jugador famoso,Sorteo de camisetas,Edición con tarjetas coleccionables,Sí
768,Humor,Descuento directo,Edición Francia,Sí
769,Premios y sorteos,Descuento directo,Edición Argentina,Sí
770,Historias de aficionados,Producto gratis,Edición con jugadores famosos,Sí
771,Un jugador famoso,2x1,Edición con jugadores famosos,Sí
772,Un jugador famoso,2x1,Edición Francia,Sí
773,Una selección nacional,Sorteo de camisetas,Edición con tarjetas coleccionables,Sí
774,Un jugador famoso,Producto gratis,Edición España,Sí
775,Un jugador famoso,Sorteo de viajes,Edición Mundial FIFA 2026,Sí
776,Premios y sorteos,2x1,Edición con jugadores famosos,Sí
777,Un jugador famoso,2x1,Edición Mundial FIFA 2026,Sí
778,Un jugador famoso,Sorteo de camisetas,Edición con jugadores famosos,Sí
779,Un jugador famoso,Descuento directo,Edición Brasil,Sí
780,Una selección nacional,Sorteo de camisetas,Edición Brasil,Sí
781,Humor,Descuento directo,Edición Argentina,Sí
782,Historias de aficionados,2x1,Edición Inglaterra,Sí
783,Un jugador famoso,Descuento directo,Edición Francia,Sí
784,Una selección nacional,2x1,Edición con tarjetas coleccionables,No
785,Un jugador famoso,Sorteo de balones,Edición Mundial FIFA 2026,No
786,Una selección nacional,2x1,Edición con tarjetas coleccionables,No
787,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,Sí
788,Premios y sorteos,Descuento directo,Edición Argentina,No
789,Humor,2x1,Edición Brasil,No
790,Un jugador famoso,Sorteo de balones,Edición España,Sí
791,Un jugador famoso,Sorteo de balones,Edición Francia,No
792,Premios y sorteos,Sorteo de balones,Edición Francia,No
793,Premios y sorteos,Descuento directo,Edición con jugadores famosos,Sí
794,Un jugador famoso,Descuento directo,Edición con jugadores famosos,Sí
795,Historias de aficionados,Sorteo de camisetas,Edición Francia,No
796,Un jugador famoso,Descuento directo,Edición con jugadores famosos,No
797,Un jugador famoso,Sorteo de viajes,Edición Mundial FIFA 2026,Sí
798,Premios y sorteos,Sorteo de viajes,Edición Inglaterra,Sí
799,Premios y sorteos,2x1,Edición con jugadores famosos,Sí
800,Premios y sorteos,Sorteo de camisetas,Edición Inglaterra,Sí
801,Una selección nacional,Producto gratis,Edición Argentina,Sí
802,Un jugador famoso,Sorteo de balones,Edición con jugadores famosos,Sí
803,Historias de aficionados,Descuento directo,Edición Argentina,No
804,Humor,Sorteo de camisetas,Edición Brasil,Sí
805,Humor,Sorteo de camisetas,Edición Francia,No
806,Un jugador famoso,Tarjetas coleccionables,Edición Brasil,Sí
807,Historias de aficionados,Sorteo de camisetas,Edición con jugadores famosos,Sí
808,Premios y sorteos,Descuento directo,Edición Brasil,No
809,Un jugador famoso,2x1,Edición con jugadores famosos,Sí
810,Un jugador famoso,Tarjetas coleccionables,Edición Argentina,No
811,Un jugador famoso,Descuento directo,Edición Brasil,Sí
812,Premios y sorteos,Descuento directo,Edición Argentina,Sí
813,Un jugador famoso,Sorteo de camisetas,Edición con jugadores famosos,No
814,Premios y sorteos,Descuento directo,Edición con tarjetas coleccionables,Sí
815,Una selección nacional,2x1,Edición Mundial FIFA 2026,No
816,Premios y sorteos,Producto gratis,Edición con tarjetas coleccionables,Sí
817,Premios y sorteos,Descuento directo,Edición con jugadores famosos,Sí
818,Un jugador famoso,2x1,Edición con jugadores famosos,No
819,Una selección nacional,2x1,Edición Francia,Sí
820,Un jugador famoso,Sorteo de balones,Edición Argentina,Sí
821,Premios y sorteos,Sorteo de viajes,Edición Mundial FIFA 2026,No
822,Humor,2x1,Edición Argentina,Sí
823,Historias de aficionados,Tarjetas coleccionables,Edición Mundial FIFA 2026,No
824,Historias de aficionados,Descuento directo,Edición España,Sí
825,Un jugador famoso,Tarjetas coleccionables,Edición España,No
826,Una selección nacional,Descuento directo,Edición Francia,Sí
827,Un jugador famoso,Descuento directo,Edición Argentina,Sí
828,Un jugador famoso,Sorteo de balones,Edición Francia,Sí
829,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,No
830,Premios y sorteos,2x1,Edición Inglaterra,No
831,Un jugador famoso,Sorteo de viajes,Edición Argentina,Sí
832,Una selección nacional,Sorteo de balones,Edición con jugadores famosos,No
833,Historias de aficionados,Producto gratis,Edición con tarjetas coleccionables,Sí
834,Humor,Descuento directo,Edición Inglaterra,Sí
835,Una selección nacional,Tarjetas coleccionables,Edición Brasil,No
836,Un jugador famoso,2x1,Edición Francia,Sí
837,Historias de aficionados,Sorteo de balones,Edición Mundial FIFA 2026,Sí
838,Humor,2x1,Edición Mundial FIFA 2026,No
839,Premios y sorteos,Tarjetas coleccionables,Edición Brasil,Sí
840,Una selección nacional,Descuento directo,Edición Brasil,No
841,Humor,Sorteo de balones,Edición España,No
842,Una selección nacional,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
843,Historias de aficionados,Descuento directo,Edición Argentina,No
844,Historias de aficionados,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
845,Una selección nacional,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
846,Historias de aficionados,Tarjetas coleccionables,Edición Francia,Sí
847,Humor,Descuento directo,Edición Argentina,Sí
848,Una selección nacional,Tarjetas coleccionables,Edición con jugadores famosos,Sí
849,Premios y sorteos,2x1,Edición con jugadores famosos,Sí
850,Humor,Producto gratis,Edición Brasil,No
851,Un jugador famoso,Tarjetas coleccionables,Edición España,No
852,Premios y sorteos,2x1,Edición con jugadores famosos,Sí
853,Una selección nacional,Sorteo de balones,Edición con jugadores famosos,Sí
854,Historias de aficionados,Descuento directo,Edición Mundial FIFA 2026,No
855,Un jugador famoso,Sorteo de camisetas,Edición España,Sí
856,Humor,2x1,Edición España,No
857,Humor,Descuento directo,Edición Francia,Sí
858,Un jugador famoso,Producto gratis,Edición Mundial FIFA 2026,No
859,Una selección nacional,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
860,Humor,Tarjetas coleccionables,Edición con jugadores famosos,No
861,Humor,Tarjetas coleccionables,Edición España,Sí
862,Un jugador famoso,Producto gratis,Edición con tarjetas coleccionables,Sí
863,Premios y sorteos,Sorteo de camisetas,Edición Brasil,No
864,Una selección nacional,Descuento directo,Edición Brasil,No
865,Un jugador famoso,Producto gratis,Edición con tarjetas coleccionables,Sí
866,Un jugador famoso,Descuento directo,Edición Argentina,No
867,Humor,2x1,Edición Brasil,No
868,Historias de aficionados,Tarjetas coleccionables,Edición Brasil,No
869,Un jugador famoso,2x1,Edición Argentina,Sí
870,Una selección nacional,Tarjetas coleccionables,Edición Mundial FIFA 2026,No
