id_encuesta,GastoSnacksPartido,CantidadSnacks,AltaIntencionCompra,CategoriaPrecio,FrecuenciaConsumoSnacks,SeleccionApoya,JugadoresInfluyentes,PlaneaVerMundial2026,ConQuienVePartidos,id_encuestado,id_ubicacion,id_tiempo,id_campania
543,Q25 - Q50,3,1,Premium,1 a 2 veces por semana,Portugal,Lionel Messi; Harry Kane,Sí,Familia,543,543,543,543
544,Q25 - Q50,1,1,Premium,1 a 2 veces por semana,Argentina,Cristiano Ronaldo; Lionel Messi; Neymar Jr.,Sí,Amigos,544,544,544,544
545,Menos de Q25,2,1,Accesible,Rara vez,Brasil,Vinícius Júnior; Cristiano Ronaldo,Sí,Compañeros de trabajo,545,545,545,545
546,Q51 - Q100,1,0,Premium,1 a 2 veces por semana,Colombia,Jude Bellingham; Neymar Jr.; Vinícius Júnior,Sí,Familia,546,546,546,546
547,Q51 - Q100,3,1,Premium,3 a 5 veces por semana,Argentina,Federico Valverde,Sí,Solo,547,547,547,547
548,Q25 - Q50,2,1,Super Premium,Todos los días,Brasil,Vinícius Júnior,Sí,Otro,548,548,548,548
549,Menos de Q25,2,1,Super Premium,1 a 2 veces por semana,Inglaterra,Cristiano Ronaldo,Sí,Familia,549,549,549,549
550,Q25 - Q50,3,0,Moderado,3 a 5 veces por semana,Argentina,Lamine Yamal; Alphonso Davies; Cristiano Ronaldo,Sí,Amigos,550,550,550,550
551,Q25 - Q50,3,1,Accesible,3 a 5 veces por semana,Brasil,Federico Valverde,Sí,Familia,551,551,551,551
552,Q25 - Q50,1,0,Accesible,Todos los días,Francia,Lamine Yamal; Kylian Mbappé; Lionel Messi,Sí,Familia,552,552,552,552
553,Q25 - Q50,3,1,Super Premium,3 a 5 veces por semana,Brasil,Jude Bellingham,Sí,Amigos,553,553,553,553
554,Q25 - Q50,3,0,Accesible,1 a 2 veces por semana,Argentina,Lionel Messi,Sí,Amigos,554,554,554,554
555,Q25 - Q50,1,0,Moderado,3 a 5 veces por semana,Francia,Lionel Messi,Sí,Compañeros de trabajo,555,555,555,555
556,Menos de Q25,3,1,Moderado,Rara vez,Francia,Neymar Jr.,Sí,Familia,556,556,556,556
557,Menos de Q25,3,1,Moderado,Varias veces al mes,Inglaterra,Federico Valverde,Sí,Familia,557,557,557,557
558,Q51 - Q100,1,1,Moderado,3 a 5 veces por semana,Portugal,Kylian Mbappé; Lionel Messi; Vinícius Júnior,Sí,Amigos,558,558,558,558
559,Q101 - Q150,1,1,Accesible,Todos los días,Brasil,Vinícius Júnior,Sí,Familia,559,559,559,559
560,Q25 - Q50,2,1,Accesible,1 a 2 veces por semana,Francia,Lionel Messi; Christian Pulisic; Cristiano Ronaldo,Sí,Compañeros de trabajo,560,560,560,560
561,Más de Q150,3,0,Accesible,3 a 5 veces por semana,México,Vinícius Júnior; Jude Bellingham,No,Familia,561,561,561,561
562,Q51 - Q100,2,0,Premium,Varias veces al mes,Argentina,Kylian Mbappé; Jude Bellingham; Lionel Messi,Sí,Amigos,562,562,562,562
563,Q25 - Q50,3,0,Premium,Todos los días,Portugal,Neymar Jr.; Cristiano Ronaldo,Sí,Amigos,563,563,563,563
564,Q51 - Q100,2,0,Accesible,Todos los días,Argentina,Vinícius Júnior; Lamine Yamal; Lionel Messi,Sí,Familia,564,564,564,564
565,Menos de Q25,1,0,Moderado,Todos los días,Francia,Neymar Jr.,Sí,Amigos,565,565,565,565
566,Q25 - Q50,3,0,Moderado,1 a 2 veces por semana,Uruguay,Lionel Messi; Alphonso Davies; Cristiano Ronaldo,Sí,Compañeros de trabajo,566,566,566,566
567,Q25 - Q50,1,1,Moderado,Rara vez,Argentina,Cristiano Ronaldo,Sí,Familia,567,567,567,567
568,Q25 - Q50,3,0,Economico,1 a 2 veces por semana,México,Jude Bellingham; Vinícius Júnior; Alphonso Davies,Sí,Amigos,568,568,568,568
569,Q51 - Q100,1,1,Premium,Varias veces al mes,Estados Unidos,Kylian Mbappé,Sí,Amigos,569,569,569,569
570,Q25 - Q50,2,0,Moderado,Varias veces al mes,México,Cristiano Ronaldo; Lionel Messi; Kylian Mbappé,Sí,Familia,570,570,570,570
571,Más de Q150,1,1,Super Premium,Varias veces al mes,Portugal,Alphonso Davies; Ninguno,Sí,Amigos,571,571,571,571
572,Q25 - Q50,1,1,Moderado,Todos los días,Brasil,Lamine Yamal,Sí,Compañeros de trabajo,572,572,572,572
573,Menos de Q25,1,1,Premium,1 a 2 veces por semana,Panamá,Lionel Messi; Ninguno,Sí,Familia,573,573,573,573
574,Q51 - Q100,2,1,Accesible,1 a 2 veces por semana,Colombia,Neymar Jr.,Sí,Solo,574,574,574,574
575,Q101 - Q150,2,1,Moderado,Todos los días,Argentina,Lionel Messi; Cristiano Ronaldo,Sí,Compañeros de trabajo,575,575,575,575
576,Q25 - Q50,2,0,Economico,Rara vez,Arabia Saudita,Neymar Jr.; Lionel Messi,Sí,Familia,576,576,576,576
577,Q25 - Q50,3,1,Moderado,3 a 5 veces por semana,ESTADOS UNIDOS,Alphonso Davies,Sí,Amigos,577,577,577,577
578,Q25 - Q50,1,1,Accesible,1 a 2 veces por semana,Argentina,Cristiano Ronaldo; Harry Kane,Sí,Compañeros de trabajo,578,578,578,578
579,Menos de Q25,2,1,Moderado,3 a 5 veces por semana,Argentina,Kylian Mbappé,Sí,Familia,579,579,579,579
580,Menos de Q25,3,1,Moderado,Todos los días,México,Rodri; Neymar Jr.; Jude Bellingham,Sí,Familia,580,580,580,580
581,Q51 - Q100,2,1,Moderado,Todos los días,Portugal,Vinícius Júnior,Sí,Familia,581,581,581,581
582,Q25 - Q50,1,0,Premium,3 a 5 veces por semana,Estados Unidos,Kylian Mbappé; Cristiano Ronaldo; Neymar Jr.,Sí,Familia,582,582,582,582
583,Q25 - Q50,2,0,Super Premium,Rara vez,Escocia,Kylian Mbappé; Neymar Jr.,Sí,Familia,583,583,583,583
584,Menos de Q25,3,1,Economico,1 a 2 veces por semana,Inglaterra,Lionel Messi,Sí,Familia,584,584,584,584
585,Q101 - Q150,1,1,Moderado,Varias veces al mes,Portugal,Neymar Jr.,Sí,Amigos,585,585,585,585
586,Q25 - Q50,2,0,Moderado,1 a 2 veces por semana,Portugal,Alphonso Davies,Sí,Familia,586,586,586,586
587,Q51 - Q100,2,0,Moderado,1 a 2 veces por semana,Inglaterra,Cristiano Ronaldo; Lionel Messi,Sí,Familia,587,587,587,587
588,Q25 - Q50,1,1,Accesible,1 a 2 veces por semana,México,Lionel Messi,Sí,Amigos,588,588,588,588
589,Q25 - Q50,1,0,Moderado,Varias veces al mes,México,Alphonso Davies; Vinícius Júnior,Sí,Amigos,589,589,589,589
590,Más de Q150,2,1,Premium,Varias veces al mes,Argentina,Harry Kane,Sí,Amigos,590,590,590,590
591,Menos de Q25,2,1,Premium,1 a 2 veces por semana,Uruguay,Lamine Yamal,Sí,Familia,591,591,591,591
592,Q51 - Q100,1,1,Moderado,Todos los días,Argentina,Vinícius Júnior; Lamine Yamal; Harry Kane,No,Familia,592,592,592,592
593,Q51 - Q100,3,0,Super Premium,Rara vez,España,Kylian Mbappé; Cristiano Ronaldo; Lionel Messi,Sí,Familia,593,593,593,593
594,Q51 - Q100,2,1,Moderado,Todos los días,México,Cristiano Ronaldo,Sí,Compañeros de trabajo,594,594,594,594
595,Q25 - Q50,3,1,Moderado,1 a 2 veces por semana,Inglaterra,Neymar Jr.; Lionel Messi; Julián Álvarez,Sí,Familia,595,595,595,595
596,Menos de Q25,3,1,Accesible,3 a 5 veces por semana,Colombia,Lionel Messi,Sí,Amigos,596,596,596,596
597,Q51 - Q100,1,1,Accesible,3 a 5 veces por semana,Estados Unidos,Cristiano Ronaldo; Vinícius Júnior; Kylian Mbappé,No,Compañeros de trabajo,597,597,597,597
598,Q25 - Q50,2,0,Moderado,3 a 5 veces por semana,Argentina,Neymar Jr.; Cristiano Ronaldo; Jude Bellingham,Sí,Familia,598,598,598,598
599,Q25 - Q50,3,0,Accesible,3 a 5 veces por semana,Portugal,Vinícius Júnior; Jude Bellingham,Sí,Amigos,599,599,599,599
600,Más de Q150,3,1,Premium,1 a 2 veces por semana,Francia,Jude Bellingham; Neymar Jr.,Sí,Solo,600,600,600,600
601,Q51 - Q100,1,1,Moderado,3 a 5 veces por semana,Inglaterra,Harry Kane; Cristiano Ronaldo; Lionel Messi,Sí,Familia,601,601,601,601
602,Q25 - Q50,1,0,Premium,1 a 2 veces por semana,Argentina,Cristiano Ronaldo; Neymar Jr.; Lionel Messi,Sí,Solo,602,602,602,602
603,Menos de Q25,1,1,Moderado,Varias veces al mes,Portugal,Lionel Messi; Jude Bellingham; Kylian Mbappé,Sí,Familia,603,603,603,603
604,Q51 - Q100,3,1,Moderado,3 a 5 veces por semana,Portugal,Vinícius Júnior,Sí,Familia,604,604,604,604
605,Menos de Q25,3,1,Moderado,3 a 5 veces por semana,España,Neymar Jr.,Sí,Familia,605,605,605,605
606,Q51 - Q100,2,1,Moderado,3 a 5 veces por semana,Portugal,Jude Bellingham,Sí,Compañeros de trabajo,606,606,606,606
607,Q51 - Q100,2,1,Moderado,1 a 2 veces por semana,Estados Unidos,Christian Pulisic; Lionel Messi; Harry Kane,Sí,Familia,607,607,607,607
608,Q25 - Q50,3,1,Accesible,Todos los días,Brasil,Christian Pulisic,No,Familia,608,608,608,608
609,Q51 - Q100,1,0,Premium,1 a 2 veces por semana,Argentina,Lionel Messi; Julián Álvarez; Neymar Jr.,Sí,Amigos,609,609,609,609
1416,Q25 - Q50,3,1,Premium,3 a 5 veces por semana,México,Federico Valverde,Sí,Compañeros de trabajo,1416,1416,1416,1416
611,Q51 - Q100,1,0,Moderado,Varias veces al mes,Arabia Saudita,Cristiano Ronaldo,Sí,Familia,611,611,611,611
612,Q51 - Q100,1,0,Moderado,1 a 2 veces por semana,Brasil,Cristiano Ronaldo,Sí,Familia,612,612,612,612
613,Q51 - Q100,3,0,Premium,1 a 2 veces por semana,Estados Unidos,Vinícius Júnior; Cristiano Ronaldo; Lionel Messi,No,Amigos,613,613,613,613
614,Q25 - Q50,3,1,Premium,1 a 2 veces por semana,Brasil,Cristiano Ronaldo,Sí,Familia,614,614,614,614
615,Q25 - Q50,2,1,Accesible,1 a 2 veces por semana,Brasil,Lionel Messi; Vinícius Júnior,Sí,Familia,615,615,615,615
1472,Menos de Q25,2,1,Accesible,Todos los días,Francia,Neymar Jr.; Cristiano Ronaldo,Sí,Familia,1472,1472,1472,1472
617,Q51 - Q100,2,1,Moderado,1 a 2 veces por semana,BRASIL,Neymar Jr.,Sí,Familia,617,617,617,617
618,Menos de Q25,3,0,Moderado,Varias veces al mes,PORTUGAL,Kylian Mbappé,Sí,Amigos,618,618,618,618
619,Q25 - Q50,2,0,Accesible,1 a 2 veces por semana,España,Neymar Jr.; Lionel Messi; Vinícius Júnior,No,Amigos,619,619,619,619
620,Q51 - Q100,1,1,Accesible,Rara vez,Argentina,Alphonso Davies; Kylian Mbappé; Vinícius Júnior,Sí,Amigos,620,620,620,620
621,Q25 - Q50,1,1,Super Premium,1 a 2 veces por semana,Arabia Saudita,Jude Bellingham; Julián Álvarez; Kylian Mbappé,Sí,Compañeros de trabajo,621,621,621,621
622,Q51 - Q100,1,1,Moderado,3 a 5 veces por semana,Brasil,Neymar Jr.,No,Compañeros de trabajo,622,622,622,622
623,Menos de Q25,3,1,Moderado,Varias veces al mes,Brasil,Federico Valverde; Lionel Messi; Rodri,Sí,Familia,623,623,623,623
624,Q51 - Q100,2,0,Premium,Varias veces al mes,Inglaterra,Jude Bellingham; Vinícius Júnior,Sí,Familia,624,624,624,624
625,Q25 - Q50,3,1,Accesible,Todos los días,Portugal,Ninguno; Christian Pulisic; Jude Bellingham,Sí,Amigos,625,625,625,625
626,Q25 - Q50,3,1,Moderado,3 a 5 veces por semana,Francia,Cristiano Ronaldo; Julián Álvarez,Sí,Compañeros de trabajo,626,626,626,626
627,Q51 - Q100,1,0,Accesible,3 a 5 veces por semana,Estados Unidos,Lionel Messi; Neymar Jr.,Sí,Amigos,627,627,627,627
628,Menos de Q25,1,0,Accesible,3 a 5 veces por semana,Brasil,Christian Pulisic; Federico Valverde,Sí,Familia,628,628,628,628
629,Q51 - Q100,1,0,Premium,Todos los días,Argentina,Lamine Yamal; Harry Kane,No,Familia,629,629,629,629
630,Q51 - Q100,3,0,Accesible,Rara vez,Colombia,Christian Pulisic; Neymar Jr.; Alphonso Davies,Sí,Amigos,630,630,630,630
631,Q25 - Q50,3,0,Accesible,Rara vez,México,Rodri; Alphonso Davies; Julián Álvarez,Sí,Solo,631,631,631,631
632,Q25 - Q50,1,1,Moderado,Todos los días,México,Christian Pulisic; Ninguno,No,Compañeros de trabajo,632,632,632,632
633,Menos de Q25,1,0,Super Premium,Todos los días,Brasil,Lionel Messi,Sí,Familia,633,633,633,633
634,Q25 - Q50,3,0,Accesible,3 a 5 veces por semana,Argelia,Lamine Yamal; Ninguno,Sí,Amigos,634,634,634,634
635,Q51 - Q100,3,1,Moderado,Varias veces al mes,España,Lionel Messi,Sí,Amigos,635,635,635,635
636,Q25 - Q50,1,1,Accesible,Todos los días,España,Lionel Messi,Sí,Familia,636,636,636,636
637,Q51 - Q100,3,1,Moderado,Todos los días,Brasil,Federico Valverde,Sí,Familia,637,637,637,637
638,Q101 - Q150,2,1,Moderado,3 a 5 veces por semana,Portugal,Cristiano Ronaldo; Neymar Jr.; Kylian Mbappé,Sí,Familia,638,638,638,638
639,Q101 - Q150,3,1,Accesible,3 a 5 veces por semana,Brasil,Lionel Messi; Cristiano Ronaldo,Sí,Familia,639,639,639,639
640,Q101 - Q150,1,0,Moderado,Varias veces al mes,Curaçao,Kylian Mbappé; Vinícius Júnior,Sí,Familia,640,640,640,640
641,Q25 - Q50,3,1,Moderado,Varias veces al mes,Brasil,Vinícius Júnior; Cristiano Ronaldo; Julián Álvarez,Sí,Amigos,641,641,641,641
642,Q51 - Q100,2,0,Economico,Varias veces al mes,Francia,Lamine Yamal; Neymar Jr.,Sí,Amigos,642,642,642,642
643,Q25 - Q50,1,0,Accesible,1 a 2 veces por semana,Portugal,Lionel Messi; Cristiano Ronaldo,No,Familia,643,643,643,643
644,Q51 - Q100,2,1,Economico,1 a 2 veces por semana,Francia,Cristiano Ronaldo,Sí,Familia,644,644,644,644
645,Q51 - Q100,1,1,Moderado,Varias veces al mes,Francia,Lamine Yamal,Sí,Familia,645,645,645,645
646,Menos de Q25,2,1,Accesible,Varias veces al mes,España,Lionel Messi,Sí,Familia,646,646,646,646
647,Q101 - Q150,2,1,Moderado,3 a 5 veces por semana,Portugal,Christian Pulisic,Sí,Familia,647,647,647,647
648,Q51 - Q100,1,0,Moderado,Todos los días,Alemania,Kylian Mbappé; Vinícius Júnior,Sí,Amigos,648,648,648,648
649,Q51 - Q100,3,1,Moderado,Rara vez,Alemania,Lionel Messi; Alphonso Davies,Sí,Familia,649,649,649,649
650,Más de Q150,1,0,Premium,1 a 2 veces por semana,Portugal,Lionel Messi; Kylian Mbappé; Jude Bellingham,Sí,Otro,650,650,650,650
651,Q101 - Q150,1,0,Moderado,3 a 5 veces por semana,Argentina,Kylian Mbappé; Cristiano Ronaldo,Sí,Amigos,651,651,651,651
652,Q25 - Q50,3,1,Accesible,Rara vez,Ghana,Ninguno; Federico Valverde; Neymar Jr.,No,Solo,652,652,652,652
653,Q101 - Q150,1,1,Accesible,Todos los días,Brasil,Harry Kane; Federico Valverde; Kylian Mbappé,Sí,Amigos,653,653,653,653
654,Q51 - Q100,2,0,Moderado,1 a 2 veces por semana,España,Harry Kane; Cristiano Ronaldo,No,Amigos,654,654,654,654
655,Menos de Q25,2,0,Accesible,1 a 2 veces por semana,Inglaterra,Julián Álvarez; Neymar Jr.,Sí,Familia,655,655,655,655
656,Q51 - Q100,3,1,Moderado,Todos los días,México,Lionel Messi,Sí,Familia,656,656,656,656
657,Q25 - Q50,2,0,Moderado,1 a 2 veces por semana,Uzbekistán,Kylian Mbappé; Lionel Messi; Lamine Yamal,Sí,Familia,657,657,657,657
658,Q51 - Q100,3,0,Moderado,3 a 5 veces por semana,España,Lionel Messi,Sí,Familia,658,658,658,658
659,Menos de Q25,1,1,Accesible,Todos los días,Portugal,Kylian Mbappé; Julián Álvarez,Sí,Familia,659,659,659,659
660,Más de Q150,3,0,Super Premium,1 a 2 veces por semana,Francia,Rodri; Cristiano Ronaldo,Sí,Familia,660,660,660,660
661,Q51 - Q100,2,1,Economico,3 a 5 veces por semana,México,Kylian Mbappé; Vinícius Júnior; Cristiano Ronaldo,Sí,Familia,661,661,661,661
662,Más de Q150,3,1,Premium,Rara vez,Inglaterra,Jude Bellingham,Sí,Amigos,662,662,662,662
663,Q51 - Q100,1,1,Premium,Varias veces al mes,Uruguay,Neymar Jr.,Sí,Amigos,663,663,663,663
664,Q25 - Q50,3,1,Economico,Varias veces al mes,Colombia,Alphonso Davies; Neymar Jr.; Julián Álvarez,Sí,Amigos,664,664,664,664
665,Q25 - Q50,2,1,Accesible,Todos los días,Brasil,Cristiano Ronaldo; Jude Bellingham,Sí,Familia,665,665,665,665
666,Q25 - Q50,2,1,Premium,Todos los días,Portugal,Lionel Messi,Sí,Solo,666,666,666,666
667,Q101 - Q150,3,1,Premium,Todos los días,Curaçao,Ninguno,Sí,Familia,667,667,667,667
668,Q51 - Q100,1,1,Premium,3 a 5 veces por semana,España,Federico Valverde; Cristiano Ronaldo,Sí,Compañeros de trabajo,668,668,668,668
669,Q101 - Q150,2,1,Moderado,1 a 2 veces por semana,Argentina,Kylian Mbappé; Julián Álvarez,Sí,Amigos,669,669,669,669
670,Q25 - Q50,3,1,Moderado,1 a 2 veces por semana,México,Lamine Yamal,Sí,Otro,670,670,670,670
671,Q51 - Q100,1,1,Premium,Todos los días,Brasil,Rodri; Federico Valverde; Neymar Jr.,Sí,Solo,671,671,671,671
672,Q51 - Q100,3,0,Accesible,Todos los días,Argentina,Rodri; Jude Bellingham,Sí,Amigos,672,672,672,672
673,Q25 - Q50,1,1,Economico,Varias veces al mes,Francia,Neymar Jr.,Sí,Compañeros de trabajo,673,673,673,673
674,Menos de Q25,2,0,Accesible,1 a 2 veces por semana,Alemania,Ninguno,No,Familia,674,674,674,674
675,Q101 - Q150,1,1,Super Premium,3 a 5 veces por semana,Argentina,Lamine Yamal; Lionel Messi; Cristiano Ronaldo,Sí,Otro,675,675,675,675
676,Menos de Q25,2,0,Accesible,3 a 5 veces por semana,España,Lionel Messi; Cristiano Ronaldo,Sí,Familia,676,676,676,676
677,Q25 - Q50,1,1,Accesible,Varias veces al mes,Argentina,Cristiano Ronaldo; Jude Bellingham,Sí,Solo,677,677,677,677
678,Q25 - Q50,2,1,Moderado,3 a 5 veces por semana,Inglaterra,Christian Pulisic,Sí,Familia,678,678,678,678
679,Q51 - Q100,1,1,Accesible,1 a 2 veces por semana,Portugal,Cristiano Ronaldo; Vinícius Júnior,Sí,Amigos,679,679,679,679
680,Q25 - Q50,1,0,Premium,3 a 5 veces por semana,Francia,Rodri; Federico Valverde; Lionel Messi,Sí,Familia,680,680,680,680
681,Q101 - Q150,3,0,Moderado,3 a 5 veces por semana,España,Neymar Jr.; Lionel Messi,Sí,Familia,681,681,681,681
682,Menos de Q25,1,1,Moderado,Todos los días,Portugal,Ninguno,Sí,Amigos,682,682,682,682
683,Q25 - Q50,3,1,Premium,3 a 5 veces por semana,Inglaterra,Neymar Jr.; Lionel Messi,Sí,Amigos,683,683,683,683
684,Q25 - Q50,3,0,Accesible,3 a 5 veces por semana,Argentina,Kylian Mbappé,Sí,Familia,684,684,684,684
685,Q51 - Q100,2,0,Premium,1 a 2 veces por semana,Portugal,Lamine Yamal,Sí,Otro,685,685,685,685
686,Q25 - Q50,2,1,Moderado,Todos los días,México,Cristiano Ronaldo; Vinícius Júnior; Neymar Jr.,Sí,Familia,686,686,686,686
687,Más de Q150,1,1,Accesible,1 a 2 veces por semana,México,Lamine Yamal,No,Otro,687,687,687,687
688,Menos de Q25,2,1,Accesible,1 a 2 veces por semana,México,Christian Pulisic; Jude Bellingham,Sí,Amigos,688,688,688,688
689,Menos de Q25,1,1,Premium,1 a 2 veces por semana,Francia,Neymar Jr.,Sí,Familia,689,689,689,689
1961,Q25 - Q50,2,1,Premium,Varias veces al mes,Brasil,Julián Álvarez,No,Otro,1961,1961,1961,1961
691,Q101 - Q150,2,1,Accesible,1 a 2 veces por semana,Argentina,Lionel Messi; Christian Pulisic; Lamine Yamal,Sí,Familia,691,691,691,691
692,Q101 - Q150,1,0,Accesible,3 a 5 veces por semana,Estados Unidos,Lamine Yamal; Kylian Mbappé,Sí,Amigos,692,692,692,692
693,Menos de Q25,2,0,Moderado,Varias veces al mes,Argentina,Kylian Mbappé,Sí,Amigos,693,693,693,693
694,Q25 - Q50,1,0,Premium,1 a 2 veces por semana,Argentina,Kylian Mbappé; Vinícius Júnior; Harry Kane,Sí,Amigos,694,694,694,694
695,Q25 - Q50,3,0,Premium,3 a 5 veces por semana,Francia,Cristiano Ronaldo; Vinícius Júnior,Sí,Amigos,695,695,695,695
696,Menos de Q25,1,1,Moderado,1 a 2 veces por semana,España,Cristiano Ronaldo,Sí,Familia,696,696,696,696
697,Q101 - Q150,1,0,Accesible,3 a 5 veces por semana,Argentina,Neymar Jr.; Lionel Messi,Sí,Familia,697,697,697,697
698,Q25 - Q50,1,0,Premium,Todos los días,PORTUGAL,Cristiano Ronaldo; Kylian Mbappé,Sí,Amigos,698,698,698,698
699,Q51 - Q100,2,1,Accesible,Todos los días,Croacia,Julián Álvarez; Lionel Messi,Sí,Amigos,699,699,699,699
700,Menos de Q25,2,0,Moderado,1 a 2 veces por semana,México,Lionel Messi,No,Otro,700,700,700,700
701,Q25 - Q50,1,1,Moderado,3 a 5 veces por semana,México,Harry Kane,Sí,Familia,701,701,701,701
702,Q25 - Q50,3,1,Accesible,1 a 2 veces por semana,Argentina,Cristiano Ronaldo,Sí,Amigos,702,702,702,702
703,Q101 - Q150,1,0,Accesible,3 a 5 veces por semana,México,Christian Pulisic; Vinícius Júnior,Sí,Solo,703,703,703,703
704,Q25 - Q50,2,1,Accesible,1 a 2 veces por semana,Alemania,Cristiano Ronaldo,Sí,Compañeros de trabajo,704,704,704,704
705,Q101 - Q150,3,0,Accesible,1 a 2 veces por semana,Egipto,Julián Álvarez; Kylian Mbappé; Lionel Messi,No,Familia,705,705,705,705
706,Menos de Q25,1,1,Premium,Varias veces al mes,Argentina,Lionel Messi; Neymar Jr.,Sí,Familia,706,706,706,706
707,Más de Q150,3,1,Premium,3 a 5 veces por semana,Japón,Cristiano Ronaldo,No,Amigos,707,707,707,707
708,Q25 - Q50,3,0,Moderado,Varias veces al mes,México,Kylian Mbappé; Lamine Yamal,Sí,Familia,708,708,708,708
709,Q51 - Q100,2,0,Economico,Varias veces al mes,Argentina,Cristiano Ronaldo; Jude Bellingham,Sí,Solo,709,709,709,709
710,Q25 - Q50,3,1,Premium,3 a 5 veces por semana,Argentina,Kylian Mbappé; Neymar Jr.,Sí,Amigos,710,710,710,710
711,Q51 - Q100,2,0,Premium,3 a 5 veces por semana,Portugal,Christian Pulisic,Sí,Amigos,711,711,711,711
712,Q25 - Q50,2,0,Economico,Varias veces al mes,Argentina,Lamine Yamal,Sí,Familia,712,712,712,712
713,Q101 - Q150,3,1,Moderado,3 a 5 veces por semana,Brasil,Harry Kane; Rodri; Vinícius Júnior,Sí,Amigos,713,713,713,713
714,Q25 - Q50,1,1,Premium,1 a 2 veces por semana,España,Kylian Mbappé,Sí,Amigos,714,714,714,714
715,Q51 - Q100,1,1,Moderado,1 a 2 veces por semana,Brasil,Neymar Jr.,No,Familia,715,715,715,715
716,Q25 - Q50,1,1,Premium,3 a 5 veces por semana,España,Lionel Messi; Cristiano Ronaldo; Alphonso Davies,Sí,Compañeros de trabajo,716,716,716,716
717,Más de Q150,1,1,Accesible,Todos los días,Brasil,Jude Bellingham,Sí,Amigos,717,717,717,717
718,Q51 - Q100,2,1,Premium,3 a 5 veces por semana,Argentina,Alphonso Davies; Neymar Jr.,Sí,Solo,718,718,718,718
719,Q101 - Q150,2,1,Moderado,1 a 2 veces por semana,Colombia,Lamine Yamal; Jude Bellingham; Neymar Jr.,No,Familia,719,719,719,719
720,Q51 - Q100,1,0,Moderado,3 a 5 veces por semana,España,Neymar Jr.; Lionel Messi; Harry Kane,Sí,Amigos,720,720,720,720
721,Menos de Q25,2,0,Moderado,Varias veces al mes,Brasil,Cristiano Ronaldo; Rodri,Sí,Familia,721,721,721,721
722,Menos de Q25,3,1,Premium,1 a 2 veces por semana,Brasil,Cristiano Ronaldo,Sí,Amigos,722,722,722,722
723,Q101 - Q150,2,1,Accesible,Varias veces al mes,Brasil,Alphonso Davies; Lionel Messi; Kylian Mbappé,Sí,Familia,723,723,723,723
724,Q25 - Q50,3,1,Premium,3 a 5 veces por semana,Argentina,Lionel Messi; Lamine Yamal; Cristiano Ronaldo,Sí,Familia,724,724,724,724
725,Menos de Q25,2,1,Super Premium,Rara vez,Portugal,Vinícius Júnior; Cristiano Ronaldo; Alphonso Davies,Sí,Familia,725,725,725,725
726,Q25 - Q50,3,0,Accesible,3 a 5 veces por semana,Argentina,Jude Bellingham; Harry Kane,Sí,Familia,726,726,726,726
727,Q101 - Q150,3,1,Accesible,Todos los días,Portugal,Julián Álvarez; Neymar Jr.,Sí,Familia,727,727,727,727
728,Q25 - Q50,2,0,Economico,3 a 5 veces por semana,Estados Unidos,Harry Kane; Neymar Jr.,Sí,Familia,728,728,728,728
729,Más de Q150,3,1,Moderado,3 a 5 veces por semana,Brasil,Julián Álvarez; Kylian Mbappé; Neymar Jr.,Sí,Familia,729,729,729,729
730,Q101 - Q150,3,0,Economico,Todos los días,Brasil,Neymar Jr.,Sí,Familia,730,730,730,730
731,Q25 - Q50,2,1,Super Premium,3 a 5 veces por semana,Francia,Lionel Messi,Sí,Amigos,731,731,731,731
732,Q51 - Q100,1,1,Accesible,3 a 5 veces por semana,Brasil,Lionel Messi; Neymar Jr.,Sí,Amigos,732,732,732,732
733,Q51 - Q100,2,1,Accesible,1 a 2 veces por semana,Portugal,Jude Bellingham; Vinícius Júnior; Cristiano Ronaldo,Sí,Familia,733,733,733,733
734,Menos de Q25,3,0,Moderado,1 a 2 veces por semana,España,Neymar Jr.; Lionel Messi; Kylian Mbappé,Sí,Amigos,734,734,734,734
735,Q25 - Q50,3,1,Moderado,3 a 5 veces por semana,Argentina,Alphonso Davies,Sí,Familia,735,735,735,735
736,Q51 - Q100,3,0,Accesible,3 a 5 veces por semana,ARGENTINA,Neymar Jr.; Lamine Yamal,Sí,Compañeros de trabajo,736,736,736,736
737,Menos de Q25,3,0,Economico,3 a 5 veces por semana,España,Kylian Mbappé; Neymar Jr.; Jude Bellingham,Sí,Familia,737,737,737,737
738,Q25 - Q50,3,1,Economico,1 a 2 veces por semana,Brasil,Neymar Jr.,Sí,Amigos,738,738,738,738
739,Q51 - Q100,1,0,Moderado,Todos los días,Brasil,Cristiano Ronaldo,Sí,Familia,739,739,739,739
740,Q25 - Q50,3,0,Super Premium,3 a 5 veces por semana,España,Christian Pulisic; Lionel Messi,No,Otro,740,740,740,740
741,Más de Q150,3,1,Moderado,Varias veces al mes,Argentina,Lamine Yamal; Neymar Jr.; Vinícius Júnior,Sí,Amigos,741,741,741,741
742,Menos de Q25,2,1,Accesible,Todos los días,Alemania,Cristiano Ronaldo,Sí,Familia,742,742,742,742
743,Q25 - Q50,1,1,Accesible,1 a 2 veces por semana,Argentina,Lionel Messi; Rodri; Neymar Jr.,Sí,Solo,743,743,743,743
744,Q51 - Q100,3,1,Moderado,3 a 5 veces por semana,Brasil,Kylian Mbappé; Neymar Jr.,Sí,Compañeros de trabajo,744,744,744,744
